2019-235;2019;Long métrage;UN VOYAGE EN HIVER;Claus DREXLER;MANEKI FILMS;place du pont neuf, 75001 paris;75001;2019-03-12;2019-03-12;2.3413928;48.85715911;"{""type"": ""Point"", ""coordinates"": [2.341392804487251, 48.857159108116036]}";48.8571591081,2.34139280449
2019-256;2019;Long métrage;LE SEL DES LARMES;Philippe Garrel;RECTANGLE PRODUCTIONS;9 rue pierre bourdan, 75012 paris;75012;2019-03-09;2019-03-09;2.39150914;48.84675077;"{""type"": ""Point"", ""coordinates"": [2.391509144431109, 48.84675076435551]}";48.8467507644,2.39150914443
2019-537;2019;Série TV;The Eddy;Damien Chazelle;atlantique productions;103 boulevard suchet, 75016 paris;75016;2019-05-24;2019-05-24;2.25988838;48.84950862;"{""type"": ""Point"", ""coordinates"": [2.2598883809377233, 48.84950861991641]}";48.8495086199,2.25988838094
2019-1537;2019;Long métrage;Tendre et saignant;Christopher Thompson;Les Films du Cap;53 rue de saintonge, 75003 paris;75003;2019-11-18;2019-11-19;2.36491118;48.86390989;"{""type"": ""Point"", ""coordinates"": [2.364911177129406, 48.8639098910761]}";48.8639098911,2.36491117713
2018-917;2018;Long métrage;Les Mignonnes;Maïmouna Doucouré;Bien ou bien Productions;6 rue manin, 75019 paris;75019;2018-08-06;2018-08-06;2.38535658;48.88289293;"{""type"": ""Point"", ""coordinates"": [2.385356580158362, 48.88289293236372]}";48.8828929324,2.38535658016
2019-187;2019;Long métrage;les hommes de Namsan;Min-Ho Woo;KEYSTONE FILMS;125 rue de grenelle, 75007 paris;75007;2019-02-22;2019-02-22;2.31633352;48.8577534;"{""type"": ""Point"", ""coordinates"": [2.316333522737283, 48.85775339660481]}";48.8577533966,2.31633352274
2019-197;2019;Long métrage;DOCTEUR ?;Tristan SEGUELA;Unité de Production;12 rue marbeuf, 75008 paris;75008;2019-02-26;2019-02-27;2.30274582;48.86778091;"{""type"": ""Point"", ""coordinates"": [2.302745816394078, 48.86778091293231]}";48.8677809129,2.30274581639
2019-201;2019;Long métrage;Passion Simple;Danielle Arbid;LES FILMS PELLEAS;31 rue de grenelle, 75007 paris;75007;2019-02-26;2019-02-26;2.32747723;48.85373536;"{""type"": ""Point"", ""coordinates"": [2.327477229535785, 48.85373535556345]}";48.8537353556,2.32747722954
2019-217;2019;Long métrage;Musique de Chambre;Christophe Honoré;LES FILMS PELLEAS;avenue de l'observatoire, 75005 paris;75005;2019-03-18;2019-03-18;2.33695948;48.84035619;"{""type"": ""Point"", ""coordinates"": [2.33695948295925, 48.840356193935726]}";48.8403561939,2.33695948296
2019-549;2019;Série TV;The Eddy;Damien Chazelle;atlantique productions;10 quai d'austerlitz, 75013 paris;75013;2019-05-28;2019-05-29;2.373063;48.83834873;"{""type"": ""Point"", ""coordinates"": [2.373062995366872, 48.838348731922885]}";48.8383487319,2.37306299537
